list_name,name,label::english,governorate,district,subdistrict,label::arabic
district,YE2908,Dhulaymat Habur,YE29,,,ظليمة حبور
district,YE2909,Dhibain,YE29,,,ذيبين
district,YE2910,Kharif,YE29,,,خارف
district,YE2911,Raydah,YE29,,,ريده
district,YE2912,Jabal Eyal Yazid,YE29,,,جبل عيال يزيد
district,YE2913,As Sudah,YE29,,,السوده
district,YE2914,As Sawd,YE29,,,السود
district,YE2915,Amran,YE29,,,عمران
district,YE2916,Maswar,YE29,,,مسور
district,YE2917,Thula,YE29,,,ثلاء
district,YE2918,Eyal Surayh,YE29,,,عيال سريح
district,YE2919,Khamir,YE29,,,خمر
district,YE2920,Bani Surim,YE29,,,بني صريم
district,YE3001,Juban,YE30,,,جبن
district,YE3002,Damt,YE30,,,دمت
district,YE3003,Qa'tabah,YE30,,,قعطبه
district,YE3004,Ash Shu'ayb,YE30,,,الشعيب
district,YE3005,Al Hasayn,YE30,,,الحصين
district,YE3006,Ad Dali',YE30,,,الضالع
district,YE3007,Jahaf,YE30,,,جحاف
district,YE3008,Al Azariq,YE30,,,الازارق
district,YE3009,Al Husha,YE30,,,الحشاء
district,YE3101,Bilad Atta'am,YE31,,,بلاد الطعام
district,YE3102,As Salafiyyah,YE31,,,السلفيه
district,YE3103,Al Jabin,YE31,,,الجبين
district,YE3104,Mazhar,YE31,,,مزهر
district,YE3105,Kusmah,YE31,,,كسمه
district,YE3106,Al Ja'fariyyah,YE31,,,الجعفريه
district,YE3201,Hadibu,YE32,,,حديبو
district,YE3202,Qalansiyah wa Abd Al Kuri,YE32,,,قلنسية وعبد الكوري
subdistrict,YE110121,Bani Sayf As Safil,YE11,YE1101,,بني سيف السافل
subdistrict,YE110122,Bani Murghim,YE11,YE1101,,بني مرغم
subdistrict,YE110123,Bani Sayf Al Aali,YE11,YE1101,,بني سيف العالي
subdistrict,YE110124,Bani Saba - Al Qafr,YE11,YE1101,,بني سباء - القفر
subdistrict,YE110125,Bani Muslim - Al Qafr,YE11,YE1101,,بني مسلم - القفر
subdistrict,YE110126,Bani Mubariz,YE11,YE1101,,بني مبارز
subdistrict,YE110127,Bani Omar Al Aali,YE11,YE1101,,بني عمر العالي
subdistrict,YE110128,Bani Omar As Safil,YE11,YE1101,,بني عمر السافل
subdistrict,YE110129,An Nakhlah,YE11,YE1101,,النخله
subdistrict,YE110130,Al Karabah,YE11,YE1101,,الكرابه
subdistrict,YE110131,Bani Jamaah,YE11,YE1101,,بني جماعه
subdistrict,YE110132,Bani Mahdi,YE11,YE1101,,بني مهدى
subdistrict,YE110133,Madhajein,YE11,YE1101,,مدحجين
subdistrict,YE110134,Himyar - Al Qafr,YE11,YE1101,,حمير - القفر
subdistrict,YE110135,Bani Sawi,YE11,YE1101,,بني ساوي
subdistrict,YE110221,Yarim,YE11,YE1102,,يريم
subdistrict,YE110222,Khaw,YE11,YE1102,,خاو
subdistrict,YE110223,Rain,YE11,YE1102,,رعين
subdistrict,YE110224,Abidah,YE11,YE1102,,عبيده
